Title,Year,Duration,MPA,Rating,Votes,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,stars,production_companies,nominations,oscars,Category,Profit
65. Nanny McPhee,2005,97.0,9,6.6,88000.0,25000000.0,123276807.0,47144110.0,14503650.0,52.08668863234542,54.534634264717646,54.534634264717646,4,0,5,4.93107228
66. Boogeyman,2005,89.0,10,4.2,33000.0,20000000.0,67192859.0,46752382.0,19020655.0,54.33017799202208,54.33017799202208,54.33017799202208,0,0,6,3.35964295
67. The Legend of Zorro,2005,129.0,9,6.0,110000.0,75000000.0,142400065.0,46464023.0,16328506.0,47.987733041471266,54.140092709477734,54.140092709477734,3,0,0,1.8986675333333334
68. Must Love Dogs,2005,98.0,10,5.9,33000.0,30000000.0,58231520.0,43894863.0,12855321.0,54.14560711429446,54.14560711429446,54.14560711429446,0,0,2,1.9410506666666667
69. Transporter 2,2005,87.0,11,6.3,219000.0,32000000.0,89083229.0,43095856.0,16540720.0,49.211288647701146,54.255262567659415,54.255262567659415,0,0,0,2.78385090625
70. Rumor Has It...,2005,97.0,10,5.5,63000.0,55000000.0,88933562.0,43000262.0,3473155.0,48.91043134783869,54.10344197469294,54.10344197469294,0,0,2,1.6169738545454546
71. Fever Pitch,2005,104.0,10,6.2,49000.0,30000000.0,50605163.0,42071069.0,12400125.0,52.79976446642864,54.11253199182054,54.11253199182054,0,0,2,1.6868387666666667
72. The Adventures of Sharkboy and Lavagirl 3-D,2005,93.0,9,3.8,44000.0,50000000.0,71992655.0,39177684.0,12500000.0,49.96035868236687,54.080397063541014,54.080397063541014,12,0,5,1.4398531
73. The Sisterhood of the Traveling Pants,2005,119.0,9,6.5,66000.0,25000000.0,42013878.0,39053061.0,9833340.0,51.14285812397673,54.1117144361393,53.40126458377165,14,0,2,1.68055512
74. Pride & Prejudice,2005,129.0,9,7.8,343000.0,28000000.0,121616555.0,38405088.0,2804000.0,48.10750756294855,54.45817941726224,50.54577008263388,59,4,4,4.343448392857143
75. The Brothers Grimm,2005,118.0,10,5.9,128000.0,88000000.0,105316267.0,37916267.0,15093000.0,50.78333037622078,54.048770641858816,54.048770641858816,5,0,5,1.1967757613636363
76. Beauty Shop,2005,105.0,10,5.6,19000.0,10597372.0,37245453.0,36351350.0,12801465.0,52.85283632880553,54.35033835021988,54.35033835021988,0,0,2,3.514593335026835
77. Derailed,2005,108.0,11,6.6,77000.0,22000000.0,57479076.0,36024076.0,12211986.0,51.05570924859962,54.2329924682184,54.2329924682184,0,0,3,2.6126852727272727
78. The Island,2005,136.0,10,6.8,332000.0,126000000.0,162949164.0,35818913.0,12409070.0,47.316019388890375,54.061322410907195,53.474863692625,6,0,0,1.2932473333333334
79. The Ringer,2005,94.0,10,5.8,39000.0,9933333.333333334,40442443.0,35428675.0,5158795.0,53.454428355231464,54.42278190878672,54.42278190878672,0,0,2,4.07138687919463
80. Hostage,2005,113.0,11,6.5,114000.0,52000000.0,77663556.0,34639939.0,9800000.0,54.0873808731002,54.0873808731002,54.0873808731002,0,0,0,1.493529923076923
81. The Constant Gardener,2005,129.0,11,7.3,151000.0,25000000.0,82468097.0,33579797.0,8577000.0,52.60893208353367,54.32225190476477,54.32225190476477,70,0,8,3.29872388
82. In Her Shoes,2005,130.0,10,6.5,66000.0,35714285.71428572,83697473.0,32880591.0,10017575.0,53.34269008377598,54.19797298795509,54.19797298795509,7,0,2,2.343529244
83. Bad News Bears,2005,113.0,10,5.8,23000.0,35000000.0,34252847.0,32868349.0,11382472.0,46.91734151574534,54.02039099241487,54.02039099241487,4,0,2,0.9786527714285714
84. Dreamer,2005,106.0,9,6.8,14000.0,32000000.0,38741732.0,32751093.0,9178233.0,54.05057958729006,54.05057958729006,54.05057958729006,5,0,3,1.210679125
85. Because of Winn-Dixie,2005,106.0,9,6.4,13000.0,14000000.0,33589427.0,32647042.0,10208431.0,51.7721316449038,54.205222052085844,54.205222052085844,0,0,2,2.3992447857142856
86. Just Friends,2005,96.0,10,6.2,131000.0,85000000.0,51024243.0,32619671.0,9275000.0,49.84565118748189,53.97116216647856,53.97116216647856,0,0,2,0.6002852117647058
87. Stealth,2005,121.0,10,5.1,57000.0,135000000.0,79268322.0,32116746.0,13251545.0,51.32293670677116,53.96945612480603,53.96945612480603,0,0,0,0.5871727555555556
88. House of Wax,2005,113.0,11,5.5,138000.0,40000000.0,68766121.0,32064800.0,12077236.0,46.00229366466881,54.11673635067246,54.11673635067246,11,0,6,1.719153025
89. The Wedding Date,2005,90.0,10,6.1,57000.0,15000000.0,47096206.0,31726995.0,11129580.0,54.30156767412288,54.30156767412288,54.30156767412288,0,0,2,3.1397470666666667
"90. Good Night, and Good Luck.",2005,93.0,9,7.4,102000.0,7000000.0,54641191.0,31558003.0,421446.0,49.07268690106686,54.90867168744849,54.90867168744849,129,6,3,7.805884428571429
91. A History of Violence,2005,96.0,11,7.4,261000.0,32000000.0,61385065.0,31504633.0,364000.0,50.83192044188145,54.14264488451266,54.14264488451266,84,2,0,1.91828328125
92. Get Rich or Die Tryin',2005,117.0,11,5.5,51000.0,40000000.0,46563961.0,30985352.0,12020807.0,52.571270990829056,54.04451912154338,54.04451912154338,3,0,3,1.164099025
93. The Fog,2005,100.0,10,3.7,40000.0,18000000.0,46201432.0,29550869.0,11752917.0,54.2270154084435,54.2270154084435,54.2270154084435,0,0,6,2.566746222222222
94. Zathura: A Space Adventure,2005,101.0,9,6.3,119000.0,65000000.0,65079236.0,29258869.0,13427872.0,49.47740518387383,54.02332705198809,54.02332705198809,3,0,5,1.0012190153846154
95. Rent,2005,135.0,10,6.8,57000.0,40000000.0,31670620.0,29077547.0,10016021.0,50.90129240547148,53.99607537465143,53.99607537465143,22,0,2,0.7917655
96. Capote,2005,114.0,11,7.3,144000.0,7000000.0,49327405.0,28750530.0,324857.0,53.72211795336087,54.809904746083994,54.809904746083994,89,0,3,7.046772142857143
97. Doom,2005,105.0,11,5.2,121000.0,60000000.0,58072119.0,28212337.0,15488870.0,53.28450368816348,54.018987886828455,54.018987886828455,0,0,0,0.96786865
98. xXx: State of the Union,2005,101.0,10,4.5,75000.0,113000000.0,71410636.0,26873932.0,12712272.0,51.6324352187146,53.97528235306797,53.97528235306797,0,0,0,0.6319525309734513
99. Elizabethtown,2005,123.0,10,6.3,74000.0,45000000.0,52164016.0,26850426.0,10618711.0,52.60162054116484,54.04388176313556,54.04388176313556,4,0,2,1.1592003555555555
100. The Descent,2005,99.0,11,7.2,256000.0,3500000.0,57130027.0,26024456.0,8911330.0,50.31691874329637,56.01680301718943,56.01680301718943,22,0,6,16.322864857142857
101. Æon Flux,2005,93.0,10,5.4,134000.0,62000000.0,53321673.0,25874337.0,12661112.0,51.69205056591174,54.00495677217564,54.00495677217564,0,0,0,0.8600269838709678
102. Serenity,2005,119.0,10,7.8,309000.0,39000000.0,40445129.0,25514517.0,10086680.0,52.122381315658636,54.027989563895865,54.027989563895865,10,0,0,1.0370545897435897
103. Dark Water,2005,105.0,10,5.6,66000.0,30000000.0,68357079.0,25473352.0,9939251.0,52.59263241460192,54.18952114874654,54.18952114874654,0,0,6,2.2785693
104. Thank You for Smoking,2005,92.0,11,7.5,231000.0,6500000.0,39323027.0,24793509.0,262923.0,47.87154971077015,54.680176750363174,54.680176750363174,32,0,2,6.049696461538462
105. Unleashed,2005,103.0,11,7.0,109000.0,45000000.0,50871113.0,24537621.0,10600000.0,49.211288647701146,54.04014359342824,54.04014359342824,0,0,0,1.1304691777777778
106. Elektra,2005,97.0,10,4.7,101000.0,43000000.0,56995646.0,24409722.0,12804793.0,54.065516172146516,54.065516172146516,54.065516172146516,0,0,5,1.3254801395348836
107. Ice Princess,2005,98.0,4,6.0,29000.0,25684964.79325855,27645491.0,24402491.0,6807471.0,54.033099591355594,54.033099591355594,54.033099591355594,0,0,2,1.0763297213962317
108. Lord of War,2005,122.0,11,7.6,345000.0,50000000.0,72617068.0,24149632.0,9390144.0,52.68643233729732,54.08202189199706,54.08202189199706,3,0,3,1.45234136
109. Match Point,2005,124.0,11,7.6,232000.0,15000000.0,85638656.0,23151529.0,398593.0,42.35595499379807,54.635880965303684,54.635880965303684,32,1,8,5.7092437333333335
110. Two for the Money,2005,122.0,11,6.2,50000.0,35000000.0,30526509.0,22991379.0,8703240.0,49.100609905202994,54.00653875949656,54.00653875949656,0,0,3,0.8721859714285715
111. Prime,2005,105.0,10,6.2,42000.0,22000000.0,67937494.0,22827153.0,6220935.0,53.463769636856114,54.29484377777433,54.29484377777433,0,0,2,3.088067909090909
112. Deuce Bigalow: European Gigolo,2005,83.0,11,4.7,54000.0,22000000.0,45109561.0,22400154.0,9626287.0,54.15983888979748,54.15983888979748,54.15983888979748,10,0,2,2.050434590909091
113. Hustle & Flow,2005,116.0,11,7.3,44000.0,2800000.0,23563727.0,22202809.0,8017808.0,52.85481238838875,54.9880030342061,54.9880030342061,47,0,3,8.415616785714287
114. A Lot Like Love,2005,107.0,10,6.6,72000.0,30000000.0,42886719.0,21845719.0,7576593.0,53.39136432015057,54.07905749271067,54.07905749271067,3,0,2,1.4295573
115. Land of the Dead,2005,93.0,11,6.2,102000.0,15000000.0,47074133.0,20700082.0,10221705.0,52.693266594187165,54.3013762151659,54.3013762151659,17,0,2,3.138275533333333
116. Assault on Precinct 13,2005,109.0,11,6.3,83000.0,30000000.0,35294470.0,20040895.0,7000000.0,51.756162185063275,54.0461302948982,54.0461302948982,2,0,0,1.1764823333333334
117. Man of the House,2005,100.0,10,5.5,26000.0,40000000.0,21577624.0,19699706.0,8917251.0,53.2038223254769,53.96324576686864,53.96324576686864,0,0,2,0.5394406
118. Valiant,2005,76.0,4,5.5,25000.0,35000000.0,61746888.0,19478106.0,5914722.0,54.122596927517264,54.122596927517264,54.122596927517264,0,0,2,1.7641968
119. The Producers,2005,134.0,10,6.3,45000.0,45000000.0,38075318.0,19398532.0,154590.0,54.003147118634644,54.003147118634644,54.003147118634644,17,0,2,0.8461181777777778
120. Cursed,2005,97.0,10,5.1,36000.0,38000000.0,29621722.0,19297522.0,9600000.0,51.87308856394251,53.99448200122015,53.99448200122015,0,0,2,0.779519
121. Into the Blue,2005,110.0,10,5.9,81000.0,50000000.0,46117696.0,18801234.0,7057854.0,52.507551007034316,54.01306603474711,54.01306603474711,2,0,0,0.92235392
122. The Upside of Anger,2005,118.0,11,6.8,23000.0,12000000.0,28237488.0,18761993.0,211559.0,52.68739558571271,54.199221347020135,54.199221347020135,13,0,2,2.353124
123. North Country,2005,126.0,11,7.3,46000.0,35000000.0,25211175.0,18337722.0,6422455.0,50.83667747250633,53.98677961671171,53.98677961671171,20,2,3,0.7203192857142857
124. Pooh's Heffalump Movie,2005,68.0,4,6.4,8800.0,20000000.0,52858433.0,18098433.0,5805559.0,54.23692647713562,54.23692647713562,54.23692647713562,0,0,5,2.64292165
125. Roll Bounce,2005,112.0,10,6.2,8000.0,37187142.85714286,17521290.0,17380866.0,7570366.0,48.229603810065505,53.95436256712912,53.95436256712912,6,0,2,0.47116526449233603
126. The Devil's Rejects,2005,107.0,11,6.7,108000.0,7000000.0,20901859.0,17044981.0,7067335.0,50.13813940493709,54.281561257084675,54.281561257084675,8,0,6,2.985979857142857
127. Son of the Mask,2005,94.0,9,2.3,60000.0,84000000.0,59981548.0,17018422.0,7700000.0,53.98596601744331,53.98596601744331,53.98596601744331,12,0,5,0.7140660476190476
128. Rebound,2005,86.0,9,5.2,14000.0,33100000.0,17492014.0,16809014.0,5033848.0,52.067783878873,53.961817050585815,53.961817050585815,0,0,2,0.5284596374622357
129. The Perfect Man,2005,100.0,9,5.5,32000.0,10000000.0,19770475.0,16535005.0,5300980.0,54.150290607361356,54.150290607361356,54.150290607361356,3,0,2,1.9770475
130. An American Haunting,2005,83.0,10,5.0,27000.0,14000000.0,29612137.0,16298046.0,6380000.0,54.168259256800184,54.168259256800184,54.168259256800184,0,0,6,2.1151526428571428
131. Wolf Creek,2005,99.0,11,6.2,81000.0,1000000.0,30894796.0,16188180.0,2805754.0,53.05886701577455,57.912734746709226,57.912734746709226,26,0,6,30.894796
132. Waiting...,2005,94.0,11,6.7,109000.0,3000000.0,18637690.0,16124543.0,6021106.0,54.701367110576676,54.701367110576676,54.701367110576676,0,0,2,6.212563333333334
133. The Gospel,2005,105.0,9,5.1,2300.0,4000000.0,15778152.0,15778152.0,7523571.0,54.40627779464005,54.40627779464005,54.40627779464005,0,0,5,3.944538
134. The Greatest Game Ever Played,2005,120.0,9,7.4,34000.0,26000000.0,15431177.0,15337393.0,3657322.0,53.97028023866608,53.97028023866608,53.97028023866608,0,0,3,0.5935068076923077
135. The Cave,2005,97.0,10,5.2,42000.0,30000000.0,33296457.0,15007991.0,6147294.0,54.03746501412528,54.03746501412528,54.03746501412528,0,0,6,1.1098819
136. Broken Flowers,2005,106.0,11,7.1,108000.0,10000000.0,47329961.0,13744960.0,780408.0,50.03983946310309,54.5088628751302,54.5088628751302,14,0,2,4.7329961
137. The Honeymooners,2005,90.0,10,3.5,7600.0,25000000.0,13183426.0,12843849.0,5538835.0,52.517840351212215,53.961670991142675,53.961670991142675,3,0,2,0.52733704
138. The New World,2005,135.0,10,6.7,91000.0,30000000.0,49334775.0,12712093.0,30864.0,49.76520055860912,54.10702238366957,54.10702238366957,34,1,8,1.6444925
139. The Matador,2005,96.0,11,6.7,47000.0,12500000.0,17356268.0,12594698.0,69100.0,52.47252523779452,54.073715777402406,54.073715777402406,6,0,2,1.38850144
140. The Weather Man,2005,102.0,11,6.6,84000.0,22000000.0,19126398.0,12482775.0,4248465.0,50.110793347191944,54.0061739035677,54.0061739035677,0,0,2,0.8693817272727272
141. The Protector,2005,111.0,11,7.0,40000.0,200000000.0,27165581.0,12044087.0,5034180.0,53.17669903525112,53.91073233488865,53.91073233488865,0,0,0,0.135827905
142. End of the Spear,2005,108.0,10,6.8,5600.0,10000000.0,12128105.0,11967000.0,4712000.0,54.050856897239605,54.050856897239605,54.050856897239605,0,0,1,1.2128105
143. Dave Chappelle's Block Party,2005,103.0,11,7.2,9700.0,3000000.0,12051924.0,11718595.0,6516000.0,46.77532802528519,54.41574578831945,54.41574578831945,4,0,2,4.017308
144. Casanova,2005,112.0,11,6.5,57000.0,25684964.79325855,37691644.0,11304403.0,119276.0,47.23243386002305,54.08398888205808,54.08398888205808,3,0,2,1.4674594379780035
145. Lords of Dogtown,2005,107.0,10,7.1,59000.0,25000000.0,13411957.0,11273517.0,5623373.0,49.187339947921366,53.96286034393287,53.96286034393287,7,0,3,0.53647828
146. Mrs. Henderson Presents,2005,103.0,11,7.0,17000.0,20000000.0,27876417.0,11036366.0,55344.0,47.303451533758086,54.07440787772202,54.07440787772202,33,2,2,1.39382085
147. Shopgirl,2005,106.0,11,6.3,25000.0,10200000.0,11675161.0,10284523.0,229685.0,51.68402082294233,54.04198520728067,54.04198520728067,7,0,8,1.1446236274509805
148. In the Mix,2005,95.0,10,3.0,8700.0,25684964.79325855,10223896.0,10223896.0,4448491.0,53.94484963015592,53.94484963015592,53.94484963015592,0,0,2,0.3980498350803047
149. Domino,2005,127.0,11,5.9,70000.0,50000000.0,22984628.0,10169202.0,4675000.0,51.800615708220775,53.9528698710508,53.9528698710508,0,0,0,0.45969256
150. The Great Raid,2005,132.0,11,6.6,24000.0,80000000.0,10777375.0,10167373.0,3376009.0,53.24157955661415,53.910587821129276,53.910587821129276,0,0,4,0.1347171875
151. Cry Wolf,2005,90.0,8,5.8,29000.0,1000000.0,32586408.0,10047674.0,4551000.0,53.29105399853192,58.132827803243366,58.132827803243366,0,0,6,32.586408
152. The Ice Harvest,2005,92.0,11,6.2,25000.0,16000000.0,10156968.0,9016782.0,3744000.0,53.28429927408044,53.97565419905779,53.97565419905779,0,0,2,0.6348105
153. Transamerica,2005,103.0,11,7.3,43000.0,1000000.0,15151744.0,9015303.0,46908.0,55.86443026917188,55.86443026917188,55.86443026917188,26,2,2,15.151744
